ID,CDGRP_ID,CODE,CODEDSC,CODELTXT
088f73fe-8600-4cfd-8da0-9d0447f2de0a,385c8a54-4283-483d-a60a-cb9083339214,910,90,
2744c98b-134c-4ae3-9a8a-232493740463,712cab3b-3927-4e3f-9f38-17349140ecf4,920,91,
7763d6a7-ffd9-449c-8c03-4a5de147482d,d58fa096-5e30-4eee-91f0-fc0810b64e2a,930,92,
5680990d-3e9c-4bf1-8422-f14e5405f2f8,d74ca631-8cd0-46a4-b5d1-9f665a5e6180,940,93,
ab805b6c-aed6-4b1b-9e47-a0539bd018d2,c04c399d-6f73-41a3-90a0-a43c584fb1f5,950,94,
f4fd0873-d046-4f19-9a34-dc341f81379a,33b1fe59-994d-479d-92bc-045c715c704a,960,95,
0269b0d1-ec43-4158-b4e7-34cfafc79da8,28308ba1-8b6e-4a30-8a7c-447e13207408,970,96,
961c1938-101c-403e-aff7-26c5f6309466,2aebe2ea-5a4a-4329-b100-9f7f3710aa27,980,97,
c4f1f176-01eb-423c-8cfc-c963008844f1,fdf65af8-752f-4c3d-9c1e-b3091e830c74,990,98,
1ac623e6-3933-4ce5-9cb9-03a3e4be6be6,8be40339-a7ba-4f6b-8b00-a65e587ca42d,1000,99,
13f305b9-ae02-47dd-ad72-00601af07d3d,0525c481-c919-4f5c-aa9e-a0212352aba2,1010,100,
36cca966-5209-42e5-9c80-f2f30019ee34,076d977d-09a7-4576-a75b-d8bd83110514,1020,FUT,
94c1a2f6-c637-4341-948a-2ffbf959a74e,25493de7-767a-4769-a023-13bfcc7bd287,1030,N/A,
3feaff5f-16b3-491f-a3b9-88b001f31ea2,598eaf67-4a3d-4741-8b7d-2ba6912804ea,10,L,
f5e71d12-5439-494e-80e8-f9035ec94763,c9e9d2b4-7fb3-439a-b676-ca345987f7cd,20,N,
49eea00b-932a-4aeb-8c40-c06a3553cde2,2f2b5b33-ea61-47c2-8eff-d1a975fd37da,29,N,NOT CLASSED LIFTING GEAR
bc3c5f39-3ca4-4a8a-924b-24c06b1793e3,2f8c2701-1f48-4777-b2b8-6fb4721eac6f,30,Y,BELONGS TO LIFTING GEAR REGISTER
163c202d-a14a-492e-b5df-fd45f9d24179,9e9bf418-2cc6-47c8-8972-4ab0666f103a,1,0.5,
d5a516fc-41c2-4e23-b27f-8497b7ed2fa3,4b2fe573-ee50-454c-b5ad-803ad4bb7778,2,1,
